,0
13,0.91856325
20,0.77148515
22,0.8875164
58,0.8940324
63,0.87983793
70,0.83370376
82,0.90344685
111,0.86993057
117,0.7946622
162,0.86638385
192,0.9021282
214,0.8857174
253,0.7854511
315,0.79939383
347,0.68759793
369,0.8264742
384,0.9064465
386,0.798787
427,0.80674064
428,0.7801685
524,0.849231
555,0.7794294
654,0.92572135
657,0.91737145
665,0.7675879
676,0.93229055
772,0.9167083
804,0.79275244
805,0.77716035
826,0.8411796
830,0.8600657
863,0.8562337
870,0.880736
897,0.87856656
918,0.8982651
968,0.8717137
981,0.7256925
988,0.84049827
1055,0.90231144
1062,0.9030889
1067,0.8995527
1092,0.87103593
1129,0.88708705
1146,0.8127136
1206,0.87576663
1213,0.7293681
1219,0.8472788
1227,0.8985671
1280,0.92900753
1291,0.9141563
1354,0.81030405
1413,0.86989015
1420,0.89117944
1497,0.80036974
1602,0.9509216
1676,0.799217
1715,0.8988465
1744,0.75638926
1761,0.818885
1785,0.8087388
1792,0.8951733
1889,0.91241586
1891,0.8822613
1914,0.83201087
1959,0.8091958
1990,0.82394433
2093,0.84563065
2146,0.8045458
2165,0.8848588
2190,0.8445623
2225,0.83591044
2240,0.8021997
2246,0.9162054
2248,0.9462016
2252,0.8719073
2275,0.93733466
2277,0.84344834
2296,0.8537973
2346,0.9294149
2378,0.8286498
2384,0.8419504
2398,0.8583678
2440,0.9102071
2540,0.9473943
2599,0.7485931
2605,0.88686126
2612,0.8970999
2618,0.7686037
2622,0.8937525
2665,0.71043086
2667,0.8238873
2680,0.84163535
2725,0.8069619
2734,0.88013345
2738,0.8080887
2759,0.8615144
2763,0.8705365
2820,0.84321415
2834,0.8746326
2839,0.83365405
2856,0.89655894
2871,0.7149881
2900,0.8345192
2952,0.7471812
2958,0.7712133
2961,0.8576718
2962,0.896999
3027,0.8025741
3073,0.76082784
3163,0.84037143
3196,0.8431595
3214,0.90786904
3249,0.87758785
3310,0.8927238
3316,0.8684529
3384,0.8953514
3402,0.7484575
3408,0.8754571
3458,0.86480755
3487,0.9232366
3511,0.91648096
3523,0.7984655
3524,0.7740237
3570,0.84898317
3623,0.8435486
3629,0.7969477
3633,0.70451885
3660,0.8639522
3725,0.80133945
3783,0.75546414
3813,0.8486716
3836,0.88192725
3862,0.86109746
3886,0.89826304
3898,0.7887948
3910,0.88023436
3931,0.7788952
3944,0.77825165
4003,0.8511606
4050,0.8531332
4091,0.8420356
4103,0.8082576
4183,0.89468056
4190,0.8627865
4194,0.83258426
4214,0.85729516
4261,0.9015522
4267,0.9251931
4317,0.82914203
4332,0.78676003
4364,0.89440143
4396,0.79872996
4398,0.627828
4435,0.7943767
4442,0.7715588
4454,0.65545493
4468,0.8855354
4508,0.8206965
4632,0.91012675
4641,0.82669514
4673,0.83010757
4684,0.712009
4685,0.83881855
4734,0.781351
4763,0.73394734
4769,0.83744717
4782,0.88767815
4786,0.77433705
4788,0.7971387
4823,0.80177665
4836,0.8249826
4888,0.9439386
4902,0.85934913
4940,0.84379923
4961,0.869948
4976,0.8749623
5026,0.75202656
5031,0.7990527
5048,0.8795821
5049,0.88576406
5067,0.90950674
5115,0.83097774
5120,0.84311914
5147,0.76899135
5174,0.7898314
5207,0.8881074
5216,0.89861095
5219,0.7402069
5278,0.8084066
5280,0.8335091
5301,0.78232646
5348,0.77153647
5401,0.7414021
5442,0.84718364
5444,0.90208465
5462,0.8528916
5520,0.7758866
5555,0.8539823
5578,0.8615938
5592,0.91052
5653,0.86612475
5666,0.9320604
5696,0.8859881
5788,0.819224
5792,0.84518147
5793,0.8711381
5800,0.8236789
5876,0.8059288
5880,0.9332696
5896,0.89956313
5899,0.83971566
5905,0.9284342
